List,Target,Word,Lexicality,Stratum,Root,KM_Dom_PoS,WF,CD,N,N_WF,N_CD,Length,Lemma,Ġabra_PoS,Gloss,NomGender,NomNumber,AdpPerson,AdpGender,AdpNumber,SubPerson,SubGender,SubNumber,DirPerson,DirGender,DirNumber,IndPerson,IndGender,IndNumber,Aspect,Polarity,SwapNeighbor,SwapOutcome,SwapWF,SwapCD
35,19739,ħabbru,Real,Semitic,ħ-b-r,VERB,1621,1551,17,3097,2829,6,ħabbar,VERB,to announce,-,-,-,-,-,p3,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
3,10991,ħabel,Real,Semitic,ħ-b-l,NOUN,2146,1646,31,231314,71179,5,ħabel,NOUN,rope,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,10452,ħabi,Real,Semitic,ħ-b-j,NOUN,1314,922,47,70482,32619,4,ħabi,NOUN,hiding,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,12766,ħabib,Real,Semitic,ħ-b-b,NOUN,8872,5597,17,33870,13176,5,ħabib,NOUN,friend,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,11076,ħabiba,Real,Semitic,ħ-b-b,NOUN,1393,1056,13,12651,8813,6,ħabib,NOUN,friend,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,19757,ħabrieka,Real,Semitic,ħ-b-r-k,NOUN,313,286,6,465,449,8,ħabrieki,ADJ,diligent,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,17052,ħabrieki,Real,Semitic,ħ-b-r-k,NOUN,433,418,7,368,340,8,ħabrieki,ADJ,diligent,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,55309,ħabritx,Real,Semitic,ħ-b-r,NotInCorpus,0,0,10,114,113,7,ħabar,VERB,to predict,-,-,-,-,-,p3,f,sg,-,-,-,-,-,-,perf,neg,-,-,-,-
23,13875,ħabs,Real,Semitic,ħ-b-s,NOUN,36352,12583,39,10642,7609,4,ħabs,NOUN,prison,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,13687,ħabsi,Real,Semitic,ħ-b-s,NOUN,644,442,16,40296,14499,5,ħabsi,NOUN,prisoner,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,11426,ħabsijiet,Real,Semitic,ħ-b-s,NOUN,555,395,7,28,25,9,ħabs,NOUN,prison,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,13667,ħabsin,Real,Semitic,ħ-b-s,NOUN,2561,937,8,4355,3009,6,ħabsi,NOUN,prisoner,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,11335,ħabta,Real,Semitic,ħ-b-t,NOUN,19002,15074,36,21748,16501,5,ħbit,NOUN,hitting,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,14332,ħabtet,Real,Semitic,ħ-b-t,VERB,814,724,18,2265,2194,6,ħabat,VERB,to bump,-,-,-,-,-,p3,f,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
52,19804,ħabtu,Real,Semitic,ħ-b-t,VERB,531,446,32,28953,22619,5,ħabat,VERB,to bump,-,-,-,-,-,p3,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
11,11746,ħadd,Real,Semitic,No Root,PRON-INDEF,153450,50425,48,80225,50024,4,ħadd,NOUN,Sunday,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,21366,ħaddan,Real,Semitic,ħ-d-n,VERB,256,245,16,3384,3042,6,ħaddan,VERB,to embrace,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
13,12540,ħaddem,Real,Semitic,ħ-d-m,VERB,423,389,16,47532,24535,6,ħaddem,VERB,to employ,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
33,19380,ħaddiem,Real,Semitic,ħ-d-m,NOUN,27084,10327,24,143959,31042,7,ħaddiem,NOUN,working person,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,16259,ħaddiema,Real,Semitic,ħ-d-m,NOUN,142336,29658,39,28484,11148,8,ħaddiem,NOUN,working person,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,20314,ħaddimtha,Real,Semitic,ħ-d-m,VERB,6,5,3,22,20,9,ħaddem,VERB,to employ,-,-,-,-,-,p1,-,sg,p3,f,sg,-,-,-,perf,pos,-,-,-,-
2,10823,ħaddmu,Real,Semitic,ħ-d-m,VERB,258,236,14,12163,9342,6,ħaddem,VERB,to employ,-,-,-,-,-,p3,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
8,11313,ħaddnet,Real,Semitic,ħ-d-n,VERB,59,59,6,107,104,7,ħaddan,VERB,to embrace,-,-,-,-,-,p3,f,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
1,10117,ħadem,Real,Semitic,ħ-d-m,VERB,7707,5681,27,18453,13361,5,ħadem,VERB,to work,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
37,18537,ħadet,Real,Semitic,'-ħ-d,VERB,16777,11927,39,21167,14050,5,ħa,VERB,to take,-,-,-,-,-,p3,f,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
54,19608,ħadid,Real,Semitic,No Root,NOUN,4785,2963,17,154289,51033,5,ħadid,NOUN,iron,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,17820,ħadimx,Real,Semitic,ħ-d-m,VERB,315,291,9,959,877,6,ħadem,VERB,to work,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,neg,-,-,-,-
7,12226,ħaditha,Real,Semitic,'-ħ-d,VERB,337,320,18,828,725,7,ħa,VERB,to take,-,-,-,-,-,p3,f,sg,p3,f,sg,-,-,-,perf,pos,-,-,-,-
26,20375,ħaditilhom,Real,Semitic,'-ħ-d,VERB,24,24,3,21,19,10,ħa,VERB,to take,-,-,-,-,-,p3,f,sg,-,-,-,p3,-,pl,perf,pos,-,-,-,-
24,20654,ħaditu,Real,Semitic,'-ħ-d,VERB,325,305,14,1705,1489,6,ħa,VERB,to take,-,-,-,-,-,p3,f,sg,p3,m,sg,-,-,-,perf,pos,-,-,-,-
41,19006,ħaditx,Real,Semitic,'-ħ-d,VERB,905,824,18,1483,1342,6,ħa,VERB,to take,-,-,-,-,-,p3,f,sg,-,-,-,-,-,-,perf,neg,-,-,-,-
18,14533,ħadmet,Real,Semitic,ħ-d-m,VERB,3287,2567,24,18130,13188,6,ħadem,VERB,to work,-,-,-,-,-,p3,f,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
12,12608,ħadmitx,Real,Semitic,ħ-d-m,VERB,415,353,14,957,876,7,ħadem,VERB,to work,-,-,-,-,-,p3,f,sg,-,-,-,-,-,-,perf,neg,-,-,-,-
28,15932,ħadmu,Real,Semitic,ħ-d-m,VERB,6386,4660,27,28824,19603,5,ħadem,VERB,to work,-,-,-,-,-,p3,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
32,18270,ħadmuha,Real,Semitic,ħ-d-m,VERB,30,30,9,972,910,7,ħadem,VERB,to work,-,-,-,-,-,p3,-,pl,p3,f,sg,-,-,-,perf,pos,-,-,-,-
43,15158,ħadna,Real,Semitic,'-ħ-d,VERB,7122,3801,40,396695,87863,5,ħa,VERB,to take,-,-,-,-,-,p1,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
34,17939,ħadnielhom,Real,Semitic,'-ħ-d,VERB,15,14,5,87,79,10,ħa,VERB,to take,-,-,-,-,-,p1,-,pl,-,-,-,p3,-,pl,perf,pos,-,-,-,-
14,12815,ħadniex,Real,Semitic,'-ħ-d,VERB,344,318,20,1198,1076,7,ħa,VERB,to take,-,-,-,-,-,p1,-,pl,-,-,-,-,-,-,perf,neg,-,-,-,-
31,16608,ħadnihiex,Real,Semitic,'-ħ-d,VERB,28,28,2,2,2,9,ħa,VERB,to take,-,-,-,-,-,p1,-,pl,p3,f,sg,-,-,-,perf,neg,-,-,-,-
1,10908,ħadra,Real,Semitic,ħ-d-r,VERB,1192,768,26,29513,17822,5,aħdar,ADJ,green,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,10996,ħadt,Real,Semitic,'-ħ-d,VERB,9450,5136,39,221572,92616,4,ħa,VERB,to take,-,-,-,-,-,p1,-,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
11,11905,ħadtha,Real,Semitic,'-ħ-d,VERB,501,426,20,2933,2616,6,ħa,VERB,to take,-,-,-,-,-,p1,-,sg,p3,f,sg,-,-,-,perf,pos,-,-,-,-
51,15792,ħadthomli,Real,Semitic,'-ħ-d,VERB,1,1,3,8,8,9,ħa,VERB,to take,-,-,-,-,-,p2,-,sg,p3,-,pl,p1,-,sg,perf,pos,-,-,-,-
30,16603,ħadtli,Real,Semitic,'-ħ-d,VERB,23,13,7,280,248,6,ħa,VERB,to take,-,-,-,-,-,p2,-,sg,-,-,-,p1,-,sg,perf,pos,-,-,-,-
42,19487,ħadtu,Real,Semitic,'-ħ-d,VERB,580,464,29,52164,34822,5,ħa,VERB,to take,-,-,-,-,-,p2,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
28,15547,ħadu,Real,Semitic,'-ħ-d,VERB,26076,17191,56,252190,99973,4,ħa,VERB,to take,-,-,-,-,-,p3,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
39,18646,ħaduha,Real,Semitic,'-ħ-d,VERB,887,831,20,3027,2613,6,ħa,VERB,to take,-,-,-,-,-,p3,-,pl,p3,f,sg,-,-,-,perf,pos,-,-,-,-
33,17389,ħaduhielna,Real,Semitic,'-ħ-d,VERB,2,2,4,7,7,10,ħa,VERB,to take,-,-,-,-,-,p3,-,pl,p3,f,sg,p1,-,pl,perf,pos,-,-,-,-
27,15413,ħaduhom,Real,Semitic,'-ħ-d,VERB,356,313,16,1082,954,7,ħa,VERB,to take,-,-,-,-,-,p3,-,pl,p3,-,pl,-,-,-,perf,pos,-,-,-,-
4,10666,ħadulu,Real,Semitic,'-ħ-d,VERB,268,249,14,566,514,6,ħa,VERB,to take,-,-,-,-,-,p3,-,pl,-,-,-,p3,m,sg,perf,pos,-,-,-,-
29,15970,ħadux,Real,Semitic,'-ħ-d,VERB,1364,1182,25,33396,22974,5,ħa,VERB,to take,-,-,-,-,-,p3,-,pl,-,-,-,-,-,-,perf,neg,-,-,-,-
21,14407,ħaf,Real,Semitic,ħ-w-f,VERB,864,824,68,276166,119563,3,ħaf,VERB,to wander about,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
24,20664,ħafen,Real,Semitic,ħ-f-n,VERB,8,6,11,1991,1428,5,ħafen,VERB,to take hold,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
45,20659,ħafer,Real,Semitic,ħ-f-r,VERB,287,266,15,434,317,5,ħafer,VERB,to forgive,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
32,21581,ħaff,Real,Semitic,ħ-f-f,ADJ,3,3,31,5864,4059,4,ħaff,VERB,to reduce weight,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
48,21242,ħaffef,Real,Semitic,ħ-f-f,VERB,78,68,15,1293,1201,6,ħaffef,VERB,to reduce weight,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
41,20658,ħaffer,Real,Semitic,ħ-f-r,VERB,141,128,17,1287,1118,6,ħaffer,VERB,to dig,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
34,18039,ħaffet,Real,Semitic,ħ-f-f,VERB,34,34,14,589,547,6,ħaff,VERB,to reduce weight,-,-,-,-,-,p3,f,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
31,18116,ħafif,Real,Semitic,ħ-f-f,NOUN,2880,2201,14,2839,2194,5,ħafif,ADJ,light,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,17515,ħafifa,Real,Semitic,ħ-f-f,ADJ,2245,1889,9,4330,3142,6,ħafif,ADJ,light,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,12360,ħaġa,Real,Semitic,No Root,NOUN,157055,32705,45,11036,8359,4,ħaġa,NOUN,thing,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,19421,ħaġar,Real,Semitic,ħ-ġ-r,NOUN-PROP,1377,823,19,160427,35709,5,ħaġar,NOUN,stones,m,coll,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,14757,ħaj,Real,Semitic,ħ-j-j,ADJ,5950,4318,68,143927,78741,3,ħaj,ADJ,alive,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,14154,ħajja,Real,Semitic,ħ-j-j,NOUN,81322,32416,43,22777,11802,5,ħajja,NOUN,life,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,20541,ħajjar,Real,Semitic,ħ-j-r,NOUN,171,161,27,86239,36520,6,ħajjar,VERB,to tempt,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
44,20256,ħajjartu,Real,Semitic,ħ-j-r,NOUN,30,26,8,49,48,8,ħajjar,VERB,to tempt,-,-,-,-,-,p2,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
19,14136,ħajjat,Real,Semitic,ħ-j-t,NOUN,77,60,15,85516,35728,6,ħajjat,NOUN,tailor,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,11638,ħajjet,Real,Semitic,ħ-j-t,NOUN,973,898,14,1488,1252,6,ħajjet,VERB,to enclose with a wall or fence,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
7,12266,ħajjiet,Real,Semitic,ħ-j-j,NOUN,1086,916,17,5102,3295,7,ħajja,NOUN,life,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,14681,ħajjin,Real,Semitic,ħ-j-j,ADJ,4320,2431,26,1383,1087,6,ħaj,ADJ,alive,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,10982,ħajjitha,Real,Semitic,ħ-j-t,NOUN,2513,2000,16,1526,1277,8,ħajjet,VERB,to enclose with a wall or fence,-,-,-,-,-,p3,m,sg,p3,f,sg,-,-,-,perf,pos,-,-,-,-
36,18673,ħajjithom,Real,Semitic,ħ-j-t,NOUN,7658,5976,22,202,184,9,ħajjet,VERB,to enclose with a wall or fence,-,-,-,-,-,p3,m,sg,p3,-,pl,-,-,-,perf,pos,-,-,-,-
38,19143,ħajjitna,Real,Semitic,ħ-j-t,NOUN,1475,1230,13,2565,2052,8,ħajjet,VERB,to enclose with a wall or fence,-,-,-,-,-,p1,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
17,13440,ħajra,Real,Semitic,ħ-j-r,NOUN,491,386,35,106477,48220,5,ħajra,NOUN,whim,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,13864,ħajt,Real,Semitic,ħ-j-t,NOUN,10643,5735,54,54670,32572,4,ħajt,NOUN,wall,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,12971,ħajtu,Real,Semitic,ħ-j-t,NOUN,8456,6227,38,18387,11394,5,ħajjet,VERB,to enclose with a wall or fence,-,-,-,-,-,p3,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
12,12708,ħakem,Real,Semitic,ħ-k-m,VERB,655,538,11,7909,5868,5,ħakem,VERB,to rule,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
54,21282,ħakk,Real,Semitic,ħ-k-k,NOUN,188,137,29,1156,889,4,ħakk-1,NOUN,itching,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,20722,ħakka,Real,Semitic,ħ-k-k,NOUN,433,388,22,1611,1283,5,ħakk-1,NOUN,itching,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,14552,ħakma,Real,Semitic,ħ-k-m,NOUN,1220,969,12,1785,1430,5,ħkim,NOUN,ruling,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,20938,ħakmet,Real,Semitic,ħ-k-m,VERB,521,499,12,3488,2754,6,ħakem,VERB,to rule,-,-,-,-,-,p3,f,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
28,15920,ħala,Real,Semitic,ħ-l-w,NOUN,271,218,82,579221,177723,4,ħala,NOUN,wasting,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,14313,ħalaq,Real,Semitic,ħ-l-q,VERB,315,257,17,6590,5201,5,ħalaq,VERB,to create,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
35,16737,ħalba,Real,Semitic,ħ-l-b,NOUN,451,395,25,81442,39212,5,ħlib,NOUN,milking,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,16785,ħalbiet,Real,Semitic,ħ-l-b,NOUN,254,225,11,23363,10813,7,ħlib,NOUN,milking,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,20365,ħaleb,Real,Semitic,ħ-l-b,VERB,23,21,17,18302,7470,5,ħaleb,VERB,to milk,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
50,21034,ħalef,Real,Semitic,ħ-l-f,VERB,268,238,12,491,416,5,ħalef,VERB,to swear,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
36,18278,ħali,Real,Semitic,'-ħ-d,ADJ,285,239,67,216077,80427,4,ħa,VERB,to take,-,-,-,-,-,p3,m,sg,-,-,-,p1,-,sg,perf,pos,-,-,-,-
13,12446,ħalib,Real,Semitic,ħ-l-b,NOUN,12816,3075,21,14681,9372,5,ħalib,NOUN,milk,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,10856,ħall,Real,Semitic,ħ-l-l,NOUN,678,364,57,171055,63103,4,ħall-1,NOUN,vinegar,m,coll,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,13550,ħalla,Real,Semitic,ħ-l-w,VERB,9606,7850,60,130888,42452,5,ħalla,VERB,to leave sb. or sth.,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
16,13116,ħallas,Real,Semitic,ħ-l-s,VERB,4803,3344,29,56981,32807,6,ħallas,VERB,to pay,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
24,21173,ħallashom,Real,Semitic,ħ-l-s,VERB,140,128,7,1303,1167,9,ħallas,VERB,to pay,-,-,-,-,-,p3,m,sg,p3,-,pl,-,-,-,perf,pos,-,-,-,-
37,18994,ħallasna,Real,Semitic,ħ-l-s,VERB,612,445,8,183,169,8,ħallas,VERB,to pay,-,-,-,-,-,p1,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
44,20053,ħallast,Real,Semitic,ħ-l-s,VERB,511,375,14,6216,4317,7,ħallas,VERB,to pay,-,-,-,-,-,p1,-,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
25,20728,ħallastux,Real,Semitic,ħ-l-s,VERB,13,12,4,116,102,9,ħallas,VERB,to pay,-,-,-,-,-,p2,-,pl,-,-,-,-,-,-,perf,neg,-,-,-,-
33,17571,ħallasx,Real,Semitic,ħ-l-s,VERB,489,415,12,7732,5611,7,ħallas,VERB,to pay,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,neg,-,-,-,-
22,13495,ħallat,Real,Semitic,ħ-l-t,VERB,752,405,24,16910,13121,6,ħallat,VERB,mix,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
52,18844,ħallef,Real,Semitic,ħ-l-f,VERB,261,221,15,6612,5436,6,ħallef,VERB,to put sb. under oath,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
38,20183,ħallejna,Real,Semitic,ħ-l-l,VERB,1217,995,11,513,469,8,ħall-2,VERB,to untie,-,-,-,-,-,p1,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
10,11342,ħallejnihiex,Real,Semitic,ħ-l-l,VERB,30,29,1,1,1,12,ħall-2,VERB,to untie,-,-,-,-,-,p1,-,pl,p3,f,sg,-,-,-,perf,neg,-,-,-,-
34,17355,ħallejt,Real,Semitic,ħ-l-l,VERB,809,709,17,506,447,7,ħall-2,VERB,to untie,-,-,-,-,-,p1,-,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
12,12753,ħallejtu,Real,Semitic,ħ-l-l,VERB,289,242,10,1002,889,8,ħall-2,VERB,to untie,-,-,-,-,-,p2,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
24,20650,ħallejtuha,Real,Semitic,ħ-l-l,VERB,18,17,6,209,186,10,ħall-2,VERB,to untie,-,-,-,-,-,p2,-,pl,p3,f,sg,-,-,-,perf,pos,-,-,-,-
26,20493,ħallejtuhom,Real,Semitic,ħ-l-l,VERB,36,30,4,106,100,11,ħall-2,VERB,to untie,-,-,-,-,-,p2,-,pl,p3,-,pl,-,-,-,perf,pos,-,-,-,-
52,20649,ħallel,Real,Semitic,ħ-l-l,NOUN-PROP,12,11,18,7099,5682,6,ħallel,VERB,to turn into vinegar,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
5,11029,ħallelin,Real,Semitic,No Root,NOUN,2271,1109,7,106,51,8,ħalliel,NOUN,burglar,m,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,17882,ħallew,Real,Semitic,ħ-l-l,VERB,5124,4443,22,5992,5126,6,ħall-2,VERB,to untie,-,-,-,-,-,p3,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
32,16394,ħallewhom,Real,Semitic,ħ-l-l,VERB,291,275,6,92,90,9,ħall-2,VERB,to untie,-,-,-,-,-,p3,-,pl,p3,-,pl,-,-,-,perf,pos,-,-,-,-
7,12234,ħallewlna,Real,Semitic,ħ-l-l,VERB,302,277,5,295,275,9,ħall-2,VERB,to untie,-,-,-,-,-,p3,-,pl,-,-,-,p1,-,pl,perf,pos,-,-,-,-
8,11397,ħallewx,Real,Semitic,ħ-l-l,VERB,294,285,15,6383,5566,7,ħall-2,VERB,to untie,-,-,-,-,-,p3,-,pl,-,-,-,-,-,-,perf,neg,-,-,-,-
29,15462,ħalli,Real,Semitic,ħ-l-w,CONJ-SUB,85361,18480,55,127967,62398,5,ħalla,VERB,to leave sb. or sth.,-,-,-,-,-,p2,-,sg,-,-,-,-,-,-,imp,pos,-,-,-,-
49,18072,ħalliel,Real,Semitic,No Root,NOUN,1500,832,19,5184,4523,7,ħalliel,NOUN,sb. who produces vinegar,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,14084,ħalliena,Real,Semitic,ħ-l-w,VERB,482,425,17,953,858,8,ħalla,VERB,to leave sb. or sth.,-,-,-,-,-,p3,m,sg,p1,-,pl,-,-,-,perf,pos,-,-,-,-
26,20644,ħallieni,Real,Semitic,ħ-l-w,VERB,116,107,9,958,824,8,ħalla,VERB,to leave sb. or sth.,-,-,-,-,-,p3,m,sg,p1,-,sg,-,-,-,perf,pos,-,-,-,-
43,15854,ħallieq,Real,Semitic,ħ-l-q,NOUN,492,397,12,5946,4735,7,ħallieq,NOUN,creator,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10285,ħalliex,Real,Semitic,ħ-l-w,VERB,382,372,30,7239,5869,7,ħalla,VERB,to leave sb. or sth.,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,neg,-,-,-,-
6,10362,ħalliha,Real,Semitic,ħ-l-w,VERB,1528,1269,23,2664,2299,7,ħalla,VERB,to leave sb. or sth.,-,-,-,-,-,p2,-,sg,p3,f,sg,-,-,-,imp,pos,-,-,-,-
12,12720,ħallihom,Real,Semitic,ħ-l-w,VERB,518,465,18,1589,1485,8,ħalla,VERB,to leave sb. or sth.,-,-,-,-,-,p2,-,sg,p3,-,pl,-,-,-,imp,pos,-,-,-,-
32,16993,ħallini,Real,Semitic,ħ-l-w,VERB,326,259,17,849,789,7,ħalla,VERB,to leave sb. or sth.,-,-,-,-,-,p2,-,sg,p1,-,sg,-,-,-,imp,pos,-,-,-,-
30,15500,ħallix,Real,Semitic,ħ-l-l,VERB,14,14,21,89949,22435,6,ħall-2,VERB,to untie,-,-,-,-,-,p3,m,sg,-,-,-,p1,-,sg,perf,neg,-,-,-,-
31,17124,ħallset,Real,Semitic,ħ-l-s,VERB,1661,1265,12,6684,5040,7,ħallas,VERB,to pay,-,-,-,-,-,p3,f,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
34,18214,ħallsitha,Real,Semitic,ħ-l-s,VERB,13,13,3,24,22,9,ħallas,VERB,to pay,-,-,-,-,-,p3,f,sg,p3,f,sg,-,-,-,perf,pos,-,-,-,-
28,16704,ħallsu,Real,Semitic,ħ-l-s,VERB,3148,2383,18,32008,18980,6,ħallas,VERB,to pay,-,-,-,-,-,p3,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
11,13065,ħallsuhom,Real,Semitic,ħ-l-s,VERB,70,65,10,783,707,9,ħallas,VERB,to pay,-,-,-,-,-,p3,-,pl,p3,-,pl,-,-,-,perf,pos,-,-,-,-
29,16941,ħallsux,Real,Semitic,ħ-l-s,VERB,674,520,12,6193,4714,7,ħallas,VERB,to pay,-,-,-,-,-,p3,-,pl,-,-,-,-,-,-,perf,neg,-,-,-,-
15,13756,ħallu,Real,Semitic,ħ-l-l,VERB,196,183,45,122876,46453,5,ħall-2,VERB,to untie,-,-,-,-,-,p3,m,sg,p3,m,sg,-,-,-,perf,pos,-,-,-,-
12,12891,ħalluha,Real,Semitic,ħ-l-l,VERB,38,34,17,2878,2405,7,ħallel,VERB,to turn into vinegar,-,-,-,-,-,p3,-,pl,p3,f,sg,-,-,-,perf,pos,-,-,-,-
55,20277,ħalq,Real,Semitic,ħ-l-q,NOUN,1755,1374,24,50495,23494,4,ħalq,NOUN,mouth,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,10299,ħalqu,Real,Semitic,ħ-l-q,NOUN,1960,1530,23,12638,10190,5,ħalaq,VERB,to create,-,-,-,-,-,p3,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
28,15989,ħama,Real,Semitic,s-ħ-m,NOUN,657,423,72,186482,54332,4,ħama,NOUN,sludge,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,21216,ħamel,Real,Semitic,ħ-m-l,VERB,20,20,36,170638,76206,5,ħamel,VERB,to be able to bear,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
6,10543,ħames,Real,Semitic,No Root,NUM-CRD,65120,30231,35,28395,18825,5,ħames,NUM,fifth (ordinal),m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
